,best,dlt,problem
732,96383.68845638538,5.00,100_2
733,99865.2289814246,5.00,100_2
734,91713.19825704748,5.00,100_2
735,95821.42775228663,5.00,100_2
736,95733.62980283554,5.00,100_2
737,100633.45082575477,5.00,100_2
738,98300.48699778486,5.00,100_2
739,93353.0101712692,5.00,100_2
740,96820.18092742389,5.00,100_3
741,93185.61019454425,5.00,100_3
742,85265.44442216535,5.00,100_3
743,98718.6350905283,5.00,100_3
744,99290.119328612,5.00,100_3
745,96151.04222888112,5.00,100_3
746,95927.95808125599,5.00,100_3
747,95459.58020492044,5.00,100_3
748,91256.94730827902,5.00,100_3
749,91125.74182487442,5.00,100_3
750,46413.67338030598,10.00,50_1_1
751,47993.41535331329,10.00,50_1_1
752,47840.21612929263,10.00,50_1_1
753,46598.33494366824,10.00,50_1_1
754,46058.765103396116,10.00,50_1_1
755,46314.36531086857,10.00,50_1_1
756,46599.39656989441,10.00,50_1_1
757,47411.336106281204,10.00,50_1_1
758,45948.01028239651,10.00,50_1_1
759,46736.94434966131,10.00,50_1_1
760,49716.133765560226,10.00,50_1_2
761,49300.14429383598,10.00,50_1_2
762,49703.48080813432,10.00,50_1_2
763,49596.52411599181,10.00,50_1_2
764,51065.45213377157,10.00,50_1_2
765,49667.014092817386,10.00,50_1_2
766,49194.30357619453,10.00,50_1_2
767,49813.96692798855,10.00,50_1_2
768,49645.209375168415,10.00,50_1_2
769,50097.53546885628,10.00,50_1_2
770,60600.447054835866,10.00,50_1_3
771,58526.012186143154,10.00,50_1_3
772,58173.611438460764,10.00,50_1_3
773,58528.924641529404,10.00,50_1_3
774,58173.611438460764,10.00,50_1_3
775,59174.030380783595,10.00,50_1_3
776,58714.96651372487,10.00,50_1_3
777,58528.924641529404,10.00,50_1_3
778,58913.944375546096,10.00,50_1_3
779,59025.473567100096,10.00,50_1_3
780,66168.99310545558,10.00,50_1_4
781,64612.48359887149,10.00,50_1_4
782,65053.320402502824,10.00,50_1_4
783,65562.33363593734,10.00,50_1_4
784,65206.626695747065,10.00,50_1_4
785,65204.10842075136,10.00,50_1_4
786,65332.83067577217,10.00,50_1_4
787,66325.35797160056,10.00,50_1_4
788,66898.7804120611,10.00,50_1_4
789,66638.88861233412,10.00,50_1_4
790,45709.93864041271,10.00,50_2_1
791,45722.974892254555,10.00,50_2_1
792,46277.75270483098,10.00,50_2_1
793,46583.02326636043,10.00,50_2_1
794,46182.67314621959,10.00,50_2_1
795,45526.028860731414,10.00,50_2_1
796,45328.78852801027,10.00,50_2_1
797,45583.30868759402,10.00,50_2_1
798,45690.45604312326,10.00,50_2_1
799,46190.03518294472,10.00,50_2_1
800,47549.93659613144,10.00,50_2_2
801,47600.6827661099,10.00,50_2_2
802,49338.06412811766,10.00,50_2_2
803,48058.96347104826,10.00,50_2_2
804,49063.14539302163,10.00,50_2_2
805,49841.00194075809,10.00,50_2_2
806,47958.86507502209,10.00,50_2_2
807,48058.96347104826,10.00,50_2_2
808,49159.35163346176,10.00,50_2_2
809,47416.23666547685,10.00,50_2_2
810,55670.88604287495,10.00,50_2_3
811,54481.181572381785,10.00,50_2_3
812,54481.181572381785,10.00,50_2_3
813,54765.546386148155,10.00,50_2_3
814,55670.88604287495,10.00,50_2_3
815,54678.73610806599,10.00,50_2_3
816,55670.88604287495,10.00,50_2_3
817,54765.546386148155,10.00,50_2_3
818,54765.546386148155,10.00,50_2_3
819,55670.88604287495,10.00,50_2_3
820,64924.618548216495,10.00,50_2_4
821,64956.70745581784,10.00,50_2_4
822,63003.01667525545,10.00,50_2_4
823,63638.26149412591,10.00,50_2_4
824,64319.814087371095,10.00,50_2_4
825,64006.26696500828,10.00,50_2_4
826,64498.73477979499,10.00,50_2_4
827,62719.13767559892,10.00,50_2_4
828,63278.46793360321,10.00,50_2_4
829,63786.83570187403,10.00,50_2_4
830,76987.4019605652,10.00,80_1
831,77107.1832854623,10.00,80_1
832,74949.86061657229,10.00,80_1
833,80127.82089863071,10.00,80_1
834,75400.66450807391,10.00,80_1
835,77747.80283965502,10.00,80_1
836,72338.93263561306,10.00,80_1
837,75204.63837163491,10.00,80_1
838,75434.88527538623,10.00,80_1
839,79119.15784323517,10.00,80_1
840,83373.77066167557,10.00,80_2
841,80434.93307444354,10.00,80_2
842,84755.56436352376,10.00,80_2
843,82787.3016748956,10.00,80_2
844,80799.45104583935,10.00,80_2
845,82270.76055532586,10.00,80_2
846,81416.44800240298,10.00,80_2
847,82130.96141524686,10.00,80_2
848,83085.00783586863,10.00,80_2
849,83121.62160831378,10.00,80_2
850,75284.62283218249,10.00,80_3
851,76147.63624771952,10.00,80_3
852,79327.17594938382,10.00,80_3
853,75475.5901754756,10.00,80_3
854,82382.39655958107,10.00,80_3
855,76123.19272297759,10.00,80_3
856,76499.1472736574,10.00,80_3
857,80643.49787703165,10.00,80_3
858,76275.8466337002,10.00,80_3
859,75873.58814615589,10.00,80_3
860,88803.437280712,10.00,80_4
861,88302.54522782183,10.00,80_4
862,88008.87567588527,10.00,80_4
863,88022.37327430415,10.00,80_4
864,88420.95634154805,10.00,80_4
865,88443.85393595787,10.00,80_4
866,86978.33820141478,10.00,80_4
867,87200.42035915237,10.00,80_4
868,86640.9977972142,10.00,80_4
869,86872.00035845276,10.00,80_4
870,105502.17403497238,10.00,100_1
871,108310.68194614747,10.00,100_1
872,107809.88946236306,10.00,100_1
873,104160.02012107443,10.00,100_1
874,105268.78926429969,10.00,100_1
875,104978.72066654784,10.00,100_1
876,105500.547576762,10.00,100_1
877,105339.27006740312,10.00,100_1
878,107778.34380378926,10.00,100_1
879,108016.24726831593,10.00,100_1
880,94651.36554280667,10.00,100_2
881,91043.88975122114,10.00,100_2
882,95848.3479996615,10.00,100_2
883,95916.88527692689,10.00,100_2
884,100277.63355253157,10.00,100_2
885,95914.33644474696,10.00,100_2
886,96383.67560823473,10.00,100_2
887,97233.79096271293,10.00,100_2
888,96623.39415301291,10.00,100_2
889,93113.70549908803,10.00,100_2
890,93470.74143533062,10.00,100_3
891,96713.30849982197,10.00,100_3
892,100562.41687418072,10.00,100_3
893,95347.43839399327,10.00,100_3
894,97220.64487242578,10.00,100_3
895,94493.63000072101,10.00,100_3
896,94875.56425930948,10.00,100_3
897,97019.25976282393,10.00,100_3
898,96007.28768536352,10.00,100_3
899,99867.48455212674,10.00,100_3
