,best,dlt,problem
53,48090.92077469601,0.76,50_2_2
54,47778.31112997508,0.76,50_2_2
55,48459.6514803637,0.76,50_2_2
56,47456.73761566541,0.76,50_2_2
57,47600.6827661099,0.76,50_2_2
58,49512.307735922,0.76,50_2_2
59,49050.05776826673,0.76,50_2_2
60,55536.85656910564,0.76,50_2_3
61,56321.96995123438,0.76,50_2_3
62,57484.07476926212,0.76,50_2_3
63,55514.63071034917,0.76,50_2_3
64,54481.181572381785,0.76,50_2_3
65,55890.58115210579,0.76,50_2_3
66,57103.9205077484,0.76,50_2_3
67,55332.89061823189,0.76,50_2_3
68,55890.58115210579,0.76,50_2_3
69,54765.546386148155,0.76,50_2_3
70,65372.22371869146,0.76,50_2_4
71,67638.15938621662,0.76,50_2_4
72,67502.156457628,0.76,50_2_4
73,66527.8947684385,0.76,50_2_4
74,62701.74257532305,0.76,50_2_4
75,65280.58749753318,0.76,50_2_4
76,63648.12310903446,0.76,50_2_4
77,64335.71342213406,0.76,50_2_4
78,65736.49073890536,0.76,50_2_4
79,65946.83890005296,0.76,50_2_4
80,75025.31378718767,0.76,80_1
81,71618.64705912527,0.76,80_1
82,76630.15618232591,0.76,80_1
83,70015.35935349147,0.76,80_1
84,77054.19373406199,0.76,80_1
85,78456.3549498535,0.76,80_1
86,73686.48826393155,0.76,80_1
87,76159.07614126163,0.76,80_1
88,74679.45165391802,0.76,80_1
89,75675.80385694509,0.76,80_1
90,82534.61537907839,0.76,80_2
91,79369.43922495552,0.76,80_2
92,81945.9724206991,0.76,80_2
93,81194.01253465297,0.76,80_2
94,81584.04624165251,0.76,80_2
95,82260.55165800224,0.76,80_2
96,79729.74616149845,0.76,80_2
97,80751.74571394299,0.76,80_2
98,79397.5105775403,0.76,80_2
99,84235.91444037578,0.76,80_2
100,78081.78065573196,0.76,80_3
101,73360.56430132917,0.76,80_3
102,77020.80856376994,0.76,80_3
103,78485.69237455801,0.76,80_3
104,76202.83598855327,0.76,80_3
105,78001.98161131429,0.76,80_3
106,79945.39889311987,0.76,80_3
107,79765.62725956578,0.76,80_3
108,75410.37432465976,0.76,80_3
109,74043.577506071,0.76,80_3
110,89624.49898254426,0.76,80_4
111,87292.30274176746,0.76,80_4
112,88552.61624824771,0.76,80_4
113,87291.41744519581,0.76,80_4
114,88505.77739593903,0.76,80_4
115,88329.07585174403,0.76,80_4
116,88496.18652856057,0.76,80_4
117,89036.69446426239,0.76,80_4
118,89798.57045284448,0.76,80_4
119,87546.75662698287,0.76,80_4
120,105156.44321090294,0.76,100_1
121,108942.28502243823,0.76,100_1
122,107330.89529733107,0.76,100_1
123,105323.42604475815,0.76,100_1
124,107204.73013298851,0.76,100_1
125,108786.48532773452,0.76,100_1
126,105445.92086168028,0.76,100_1
127,107496.73334370984,0.76,100_1
128,107592.99126735705,0.76,100_1
129,109703.28525872831,0.76,100_1
130,91370.73200064791,0.76,100_2
131,91564.56393693948,0.76,100_2
132,92735.69386421925,0.76,100_2
133,93786.12462381016,0.76,100_2
134,93002.13906501187,0.76,100_2
135,89939.75922915962,0.76,100_2
136,92376.83157993766,0.76,100_2
137,94017.69017895745,0.76,100_2
138,93063.76231128091,0.76,100_2
139,93513.8476789637,0.76,100_2
140,92926.83858789114,0.76,100_3
141,93521.15655799778,0.76,100_3
142,91150.7771366172,0.76,100_3
143,93419.50449255227,0.76,100_3
144,93680.75212623444,0.76,100_3
145,94622.83174003666,0.76,100_3
146,94128.66210600911,0.76,100_3
147,90278.4582148354,0.76,100_3
148,91618.9957480118,0.76,100_3
149,85989.43393404935,0.76,100_3
150,47050.592382206756,0.90,50_1_1
151,46262.163706689986,0.90,50_1_1
152,49993.024186051895,0.90,50_1_1
153,46109.89050916357,0.90,50_1_1
154,47771.217702337715,0.90,50_1_1
155,48062.73058167697,0.90,50_1_1
156,46118.15947395898,0.90,50_1_1
157,47338.92406208925,0.90,50_1_1
158,47444.10711570213,0.90,50_1_1
159,46182.31631204265,0.90,50_1_1
160,49304.789696048756,0.90,50_1_2
161,49463.89107641001,0.90,50_1_2
162,49745.31622615749,0.90,50_1_2
163,49840.96707824846,0.90,50_1_2
164,50019.20905262868,0.90,50_1_2
165,49596.57985733956,0.90,50_1_2
166,49194.30357619453,0.90,50_1_2
167,50074.315277443005,0.90,50_1_2
168,50703.20137977733,0.90,50_1_2
169,50134.42288618934,0.90,50_1_2
170,59541.67599600241,0.90,50_1_3
171,61532.510746186825,0.90,50_1_3
172,60600.447054835866,0.90,50_1_3
173,61727.6928728109,0.90,50_1_3
174,61532.510746186825,0.90,50_1_3
175,61727.6928728109,0.90,50_1_3
176,58528.924641529404,0.90,50_1_3
177,63762.165660571176,0.90,50_1_3
178,58541.737781532174,0.90,50_1_3
179,62185.22068421654,0.90,50_1_3
180,65263.02804773052,0.90,50_1_4
181,67534.66568419285,0.90,50_1_4
182,65407.49973831365,0.90,50_1_4
183,65719.00342877385,0.90,50_1_4
184,65165.83279287178,0.90,50_1_4
185,65225.511197880405,0.90,50_1_4
186,64778.39958198051,0.90,50_1_4
187,65148.79314935231,0.90,50_1_4
188,66169.13452521856,0.90,50_1_4
189,63912.62549201166,0.90,50_1_4
190,48540.06263854995,0.90,50_2_1
191,48176.4043643645,0.90,50_2_1
192,46486.67506210028,0.90,50_2_1
193,46683.46603111991,0.90,50_2_1
194,49070.28680757494,0.90,50_2_1
195,47246.52552661851,0.90,50_2_1
196,47761.150016713276,0.90,50_2_1
197,46818.00758129526,0.90,50_2_1
198,47737.7900490764,0.90,50_2_1
199,46543.7991497167,0.90,50_2_1
200,51424.61371008114,0.90,50_2_2
201,48679.83854031384,0.90,50_2_2
202,50296.12800392339,0.90,50_2_2
203,48958.41533602654,0.90,50_2_2
204,49186.4155460087,0.90,50_2_2
205,49526.62497825096,0.90,50_2_2
206,48518.259477205276,0.90,50_2_2
207,47549.93659613144,0.90,50_2_2
208,49419.91309941037,0.90,50_2_2
209,48819.95036752565,0.90,50_2_2
210,57054.0508581117,0.90,50_2_3
211,62059.289815564654,0.90,50_2_3
212,54673.89895120451,0.90,50_2_3
213,55890.58115210579,0.90,50_2_3
214,54765.546386148155,0.90,50_2_3
215,55134.42578731688,0.90,50_2_3
216,54673.89895120451,0.90,50_2_3
217,54678.73610806599,0.90,50_2_3
218,56080.91855173766,0.90,50_2_3
219,55565.95860329273,0.90,50_2_3
220,64867.25127038978,0.90,50_2_4
221,64262.248839343374,0.90,50_2_4
222,65401.25510599925,0.90,50_2_4
223,69031.46508782152,0.90,50_2_4
224,66031.14149866895,0.90,50_2_4
225,62392.71536883926,0.90,50_2_4
226,65060.74638137162,0.90,50_2_4
227,64229.47723423261,0.90,50_2_4
228,67112.33774160611,0.90,50_2_4
229,62799.67131122661,0.90,50_2_4
230,76188.25427170147,0.90,80_1
231,70678.92180996071,0.90,80_1
232,75081.17573100678,0.90,80_1
233,75418.21885024253,0.90,80_1
234,73918.13661205227,0.90,80_1
235,75199.66179629164,0.90,80_1
236,77487.4287639416,0.90,80_1
237,76049.03469337204,0.90,80_1
238,73640.182584254,0.90,80_1
239,75857.7676549447,0.90,80_1
240,83604.22334230453,0.90,80_2
241,83163.00437982263,0.90,80_2
242,80540.13442946589,0.90,80_2
243,80686.28486883701,0.90,80_2
244,80592.44342531802,0.90,80_2
245,82254.76842456256,0.90,80_2
246,80753.45999705077,0.90,80_2
247,81990.07848596068,0.90,80_2
248,78025.887488839,0.90,80_2
249,82479.70442734876,0.90,80_2
250,74952.66459397228,0.90,80_3
251,79798.56454703392,0.90,80_3
252,76873.60685711542,0.90,80_3
253,77633.34337474704,0.90,80_3
254,75055.42729418614,0.90,80_3
255,79606.6487399151,0.90,80_3
256,80104.99514051763,0.90,80_3
257,78042.05833209946,0.90,80_3
258,79633.88844224626,0.90,80_3
259,76862.36484635071,0.90,80_3
260,87505.16098754545,0.90,80_4
261,89382.1400010097,0.90,80_4
262,88283.55426278879,0.90,80_4
263,87478.64743666028,0.90,80_4
264,87246.18657972703,0.90,80_4
265,86935.40449744355,0.90,80_4
266,88904.46424502932,0.90,80_4
267,87871.57372289158,0.90,80_4
268,87915.4973425784,0.90,80_4
269,87451.81706431715,0.90,80_4
270,106127.32533330908,0.90,100_1
271,108915.8732173861,0.90,100_1
272,105932.05132214358,0.90,100_1
273,106909.21802834413,0.90,100_1
274,106674.85579089083,0.90,100_1
275,107695.96587934469,0.90,100_1
276,109468.72989067656,0.90,100_1
277,105188.0148149245,0.90,100_1
278,108596.54344439437,0.90,100_1
279,105093.3834451405,0.90,100_1
280,98572.59560311682,0.90,100_2
281,95278.14482316509,0.90,100_2
282,92428.57235428391,0.90,100_2
283,91537.30064447733,0.90,100_2
284,91422.7969647387,0.90,100_2
285,94604.16280711444,0.90,100_2
286,95834.68091244056,0.90,100_2
287,92008.09474393821,0.90,100_2
288,91921.61867270607,0.90,100_2
289,94239.43508999486,0.90,100_2
290,93547.9133497651,0.90,100_3
291,90001.6405520711,0.90,100_3
292,94973.63171838823,0.90,100_3
293,93366.39029698723,0.90,100_3
294,85139.42044829512,0.90,100_3
295,96045.552011462,0.90,100_3
296,92352.89243925561,0.90,100_3
297,93405.27546637322,0.90,100_3
298,85722.13572891304,0.90,100_3
299,94026.25729634034,0.90,100_3
300,47135.97256015173,1.00,50_1_1
301,47386.64420763632,1.00,50_1_1
302,47581.726159062586,1.00,50_1_1
303,47659.18298962017,1.00,50_1_1
304,46266.07849080073,1.00,50_1_1
305,46179.184458577554,1.00,50_1_1
306,46357.36554979309,1.00,50_1_1
307,47434.85073148535,1.00,50_1_1
308,46421.80826664534,1.00,50_1_1
309,47902.11339104906,1.00,50_1_1
310,49787.048061836096,1.00,50_1_2
311,49745.31622615749,1.00,50_1_2
312,50074.315277443005,1.00,50_1_2
313,49415.52266611011,1.00,50_1_2
314,49557.51513409946,1.00,50_1_2
315,49184.82595722317,1.00,50_1_2
316,49335.75652295374,1.00,50_1_2
317,50408.39308520476,1.00,50_1_2
318,49460.68418543286,1.00,50_1_2
319,50495.24225506733,1.00,50_1_2
320,61532.510746186825,1.00,50_1_3
321,59029.52707356955,1.00,50_1_3
322,58173.611438460764,1.00,50_1_3
323,62185.22068421654,1.00,50_1_3
324,61253.15699286558,1.00,50_1_3
325,58173.611438460764,1.00,50_1_3
326,59541.67599600241,1.00,50_1_3
327,59980.846356896334,1.00,50_1_3
328,64054.14519045311,1.00,50_1_3
329,60360.824732694266,1.00,50_1_3
330,64928.26482140536,1.00,50_1_4
331,67529.12283560513,1.00,50_1_4
332,64650.33613130462,1.00,50_1_4
333,65296.48851933799,1.00,50_1_4
334,65517.2474272563,1.00,50_1_4
335,65512.82377093767,1.00,50_1_4
336,65006.28763853248,1.00,50_1_4
337,66250.93224884634,1.00,50_1_4
338,65263.75448450136,1.00,50_1_4
339,65977.58492379403,1.00,50_1_4
340,47186.33377150503,1.00,50_2_1
341,45997.92576727354,1.00,50_2_1
342,46529.73611891682,1.00,50_2_1
343,47585.36702669553,1.00,50_2_1
344,46164.761535326266,1.00,50_2_1
345,46343.449088721434,1.00,50_2_1
346,47248.202151498175,1.00,50_2_1
347,46427.69701529683,1.00,50_2_1
348,46617.7625309632,1.00,50_2_1
349,46493.80132093715,1.00,50_2_1
350,47774.41897438904,1.00,50_2_2
351,47958.86507502209,1.00,50_2_2
352,47416.23666547685,1.00,50_2_2
353,48123.78456433768,1.00,50_2_2
354,47874.51737041521,1.00,50_2_2
355,48660.89773470663,1.00,50_2_2
356,49762.1694753275,1.00,50_2_2
357,47774.41897438904,1.00,50_2_2
358,49327.86163528895,1.00,50_2_2
359,47916.58535120144,1.00,50_2_2
360,56636.570754158936,1.00,50_2_3
361,57072.78406852952,1.00,50_2_3
362,55279.38363316345,1.00,50_2_3
